from_id,Bideford Community Hospital,NHS Nightingale Exeter,"Colin Campbell Court, Plymouth",Torbay & South Devon Community Diagnostic Centre,Tiverton - Lowman Way,Okehampton - Exeter Road Industrial Estate,Crediton - Lords Meadow,South Molton - Pathfields,Newton Abbott - Market Walk,Bovey Tracey - Blue Waters,Honiton - Devonshire Road,Exmouth - The Strand,Barnstaple - Archwood Retail Park,Ilfracombe - Wilder Road,Kingsbridge - Fore Street,Tavistock - Drake Road,Holsworthy - Underlane,Paignton - Hyde Road
Torbay 004B,74.2,24.683332,43.583332,3.7833333,40.633335,39.516666,37.933334,59.6,11.2,18.883333,35.583332,34.55,71.7,88.28333,33.483334,52.6,66.98333,9.266666
Torbay 004C,74.9,25.383333,44.283333,2.7666667,41.333332,40.216667,38.633335,60.3,11.9,19.583334,36.283333,35.266666,72.4,88.98333,34.183334,53.3,67.683334,9.966666
Torbay 004D,75.98333,26.483334,44.966667,1.7333333,42.0,40.883335,39.3,60.966667,13.116667,20.25,36.95,36.483334,73.5,90.083336,35.416668,54.4,68.36667,8.483334
Torbay 005A,79.3,29.783333,46.716667,2.4333334,45.733334,44.616665,43.033333,64.7,13.916667,20.566668,40.683334,37.266666,76.8,93.38333,36.633335,55.316666,72.083336,10.766666
Torbay 005B,75.833336,26.333334,45.65,2.45,42.283333,41.166668,39.583332,61.233334,12.833333,20.516666,37.233334,36.2,73.35,89.933334,35.566666,54.25,68.63333,9.2
Torbay 005C,75.3,25.8,45.116665,2.7333333,41.75,40.633335,39.05,60.7,12.3,20.0,36.7,35.666668,72.816666,89.4,35.033333,53.716667,68.1,9.5
Torbay 005D,80.55,31.05,47.983334,2.7333333,47.0,45.866665,44.3,65.95,15.166667,21.833334,41.95,38.533333,78.066666,94.65,37.9,56.583332,73.35,10.933333
Torbay 008B,75.6,26.1,45.416668,2.15,42.05,40.933334,39.35,61.016666,12.6,20.3,37.0,35.966667,73.11667,89.7,34.916668,54.016666,68.4,6.883333
Torbay 008C,76.03333,26.516666,46.15,3.0833333,42.466667,41.35,39.766666,61.433334,13.033334,20.716667,37.416668,36.4,73.53333,90.13333,35.316666,54.45,68.833336,7.2833333
Torbay 008D,74.066666,24.55,43.883335,2.45,40.5,39.383335,37.816666,59.466667,11.066667,18.75,35.45,34.433334,71.583336,88.166664,33.466667,52.483334,66.86667,7.35
Torbay 010A,78.2,28.683332,45.65,4.266667,44.633335,43.516666,41.933334,63.6,15.2,21.866667,39.583332,38.55,75.7,92.28333,35.566666,56.6,70.98333,7.516667
Torbay 010B,79.65,30.133333,47.1,4.7,46.083332,44.966667,43.383335,65.05,16.65,23.316668,41.033333,40.016666,77.15,93.75,37.016666,58.066666,72.45,8.966666
Torbay 010C,79.61667,30.1,47.066666,2.8,46.05,44.933334,43.35,65.01667,16.616667,23.283333,41.0,39.983334,77.11667,93.71667,36.983334,58.033333,72.416664,8.933333
Torbay 010D,79.21667,29.716667,46.683334,2.25,45.666668,44.55,42.966667,64.63333,16.216667,22.883333,40.616665,39.583332,76.73333,93.316666,36.583332,57.633335,72.01667,8.55
