Facility_Name,Latitude,Longitude,Existing
Bodmin CDC at Bodmin Community Hospital,50.46733840440277," -4.741481244968428",Yes
Taunton Diagnostic Centre,51.011924601109214," -3.069795515533405",Yes
"Yeovil CDC at Yeovil Hospital",50.946244470980346, -2.6347399997891494,Yes
,,,
