Facility_Name,Latitude,Longitude,Existing
Bideford Community Hospital,51.01809928081885," -4.212522957859537",Yes
NHS Nightingale Exeter,50.72341831275107," -3.466704571939486",Yes
"Colin Campbell Court, Plymouth",50.370672920789495,-4.148156858545842,Yes
Torbay & South Devon Community Diagnostic Centre,50.466924221878465, -3.528502002640093,Yes
